,Company,Slogan
0,Costa Coffee,For coffee lovers.
1,Evian,Evian. Live young.
2,Dasani,Designed to make a difference.
3,Heineken,It's all about the beer.
4,Gatorade,The Legend Continues.
5,TÃ­o Pepe,Good food tastes better after a glass of Tio Pepe
6,Tetley's Brewery,Don't Do Things By Halves.
7,Batemans Brewery,Good Honest Ales
8,Jones Soda,Run with the little guy... create some change.
9,Grapette,Thirsty or Not.
10,Jif (lemon juice),juice in a jiffy.
11,Royal Tru,Bring out the crazy!
12,Oronamin,Genki hatsuratsu.
13,Culligan,Hey Culligan!
14,Belvedere Vodka,Belvedere Always Goes Down Smoothly.
15,Wodka Gorbatschow,The Pure Spirit of Vodka.
16,White Horse (whisky),you can take a white horse anywhere.
17,Grand Old Parr,Make friends with Old Parr.
18,Clan Gregor,Royal is my race.
19,Finlandia (vodka),Vodka from a Purer Place.
20,Colgate,"Stronger, healthier gums."
21,Fanta,"Drink Fanta, stay Bamboocha."
22,Pizza Hut,Make it great.
23,Head & Shoulders,Live head first.
24,Domino's Pizza,Pizza deliver experts.
25,Ben & Jerry's,"Peace, love & ice cream."
28,Milo,MILO Everyday!
29,Starbucks,Customize Your Cup.
30,Audi,Vorsprung durch Technik.
31,NIVEA,More evolved skincare.
32,Snickers,Get some nuts!
33,Nescafe,It all starts with a Nescafe.
34,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
35,Levi's Jeans,Original jeans. original people.
36,Lipton,Be more tea.
37,Dove (toiletries),The secret of beautiful hair.
38,Pampers,Discover your baby's world.
39,Coca-Cola,Taste The Feeling.
40,Beam Suntory,"For relaxing times, make it Suntory time."
41,Live+,Sharpen Up!
42,Pussy (energy drink),100% natural.
43,Tango (drink),The Whole Fruit.
44,Tizer,The Great British Pop.
45,Dr. Enuf,Enuf is Enough!
46,ToniCol,the different soft drink.
47,Campa Cola,The Great Indian Taste.
48,Mezzo Mix,Cola Kisses orange.
49,Bluna,How Bluna are you?
50,Bionade,The official beverage of a better world.
51,Oasis (drink),Be Fruit.
52,Slice (drink),"It's orange, only twisted."
53,Rondo (soft drink),The Thirst Crusher!
54,OK Soda,Everything is going to be OK.
55,Jolt Cola,"All the sugar, twice the caffeine!"
56,Crystal Pepsi,You've never seen a taste like this.
57,Robinsons (drink),Real Fruit in Every Drop.
58,Yazoo (drink),Milk shaken up.
59,Bubble Up,"kiss of lemon, kiss of lime."
80,Mecca-Cola,Shake your Conscience.
81,SodaStream,Get busy with the fizzy.
82,Monster Energy,Unleash the Beast.
83,Dr. Brown's,Taste of the Town.
84,Cheerwine,Uniquely Southern.
85,Vernors,Deliciously Different.
86,Gini (soft drink),The hottest of cold drinks.
87,Moxie,Just Make It Moxie for Mine.
88,Mello Yello,Make The Mello Yello Move.
89,Limca,It's veri veri Lime & Lemoni.
90,Lilt,the totally tropical taste.
91,Inca Kola,Let's go for more.
92,Fresca,Nothing tastes like Fresca.
93,Barq's,Barq's has bite!
94,Pepsi Zero Sugar,Get Buckets.
95,Horlicks,the food drink of the night.
96,Woodroofe,Still the best lemonade made.
97,Konig's Westphalian Gin,The only perfect gin.
98,Evoca Cola,The original Black Seed Cola.
99,Jolly Cola,Free your taste.
120,Sunkist (soft drink),Good Vibrations.
121,Pluto Water,"When Nature Won't, PLUTO Will."
122,Shasta (soft drink),It hasta be Shasta!
123,Taut,The first clean sports drink.
124,Codorniu,The Culture of Pleasure.
125,Jacob's Creek,Say when.
126,Wolf Blass,Australian wine at its peak.
127,Sutter Home Winery,Taste the Commitment.
128,Blavod,Outrageously Smooth.
129,Patron Tequila,Simply perfect.
130,Malibu (rum),Seriously easy going.
131,Tanqueray,Ready to Tanqueray?
132,Dreher Breweries,It's what's inside that truly counts.
133,Staropramen Brewery,Get A Taste Of Prague.
134,Adnams,"Southwold, by the pint."
135,Carlton Cold,Nothing's as fresh as a Coldie.
136,Schaefer Beer,America's Oldest Lager Beer.
137,Minute Maid,Loaded with Taste.
138,Harp Lager,Look on the Harp side.
139,Poland Spring,Born Better.
160,Appy Fizz,Cool Drink to Hang Around With.
161,Joseph Schlitz Brewing Company,The beer that made Milwaukee famous.
162,Frooti,Juice Up your Life.
163,Cointreau,Be cointreauversial.
164,Disaronno,Taste the seduction
165,Norrlands Guld,Be yourself for a while
166,Mackeson Beer,king of the night.
167,Tuborg,Beer YOURSELF
168,Cafe Britt,From our plantation to your cup!
169,Boost (drink),Refresh yourself.
170,Shloer,Get your sparkle!
171,Grey Goose (vodka),The world's best tasting vodka.
172,Ballantine's,Play in moderation.
173,Jose Cuervo,Don't let go.
174,Black Velvet (whisky),Feel the Velvet
175,Houghton Wines,Perfect for when friends drop in.
176,Lindeman's,You make me smile.
177,United Breweries,The King of Good Times.
178,Caribou Coffee,Stay awake for it
179,Ricore,Friend Ricore.
200,Horn & Hardart,Less Work for Mother.
201,High Point (coffee),Decaffeinate the ones you love.
202,Guglielmo coffee,the coffee that hits the spot.
203,Postum,There's a Reason.
204,MiO,Flip it. Tip it. Sip it!
205,Gold Spot,The Zing Thing.
206,Frugo,Let's Frugo.
207,Double Diamond Beer,I'm only here for the beer.
208,Gilbey's gin,Taste the smoothest gin today.
209,Go Fast!,Pure Energy.
210,Haig (whisky),"Don't Be Vague, Ask For A Haig."
211,A Twosome Place,"A cup of coffee, TWO of us"
212,Tiger Energy Drink,Power is back!
213,Um Bongo,The great flavour of the jungle
214,Super Bock,The beer that goes beyond your expectations
215,Bell's whisky,Afore ye go.
216,Irn-Bru,Gets you through.
217,Apollinaris (water),The Queen of Table Waters.
218,Licher Brewery,From the Heart of Nature
219,Bitburger Brewery,Bitte ein Bit.
240,Banania,the y'a bon buddy.
241,Nabob (coffee),"Better beans, better coffee, better planet."
242,Carling Black Label,"Hey Mabel, Black Label!"
243,Solo,Game On.
245,Manischewitz,Man-O-Manischewitz What a Wine!
246,National Bohemian,What a beer!
247,Christian Schmidt Brewing Company,One Beautiful Beer.
248,Camp Coffee,Ready aye ready.
249,Luzianne,Take a fresh look at your iced tea.
250,5-hour Energy,Hours and hours of energy.
251,Full Throttle,Feel the energy at work.
252,V Energy,It all starts with V.
253,Relentless (drink),Be Relentless.
254,NOS (drink),You only live NOS.
255,Vault (drink),"Get it done, and then some."
256,Hype Energy Drinks,Feel the Hype.
257,Goodricke tea,The tea people.
258,BOH tea,Share the Ummph!
259,Tavalon Tea,The future of tea.
280,Diet Coke,Light it up!
281,E & J Gallo Winery,The new art of wine.
282,Greene King,Beer to Dine For.
283,Tapal Tea,Differ tastefully.
284,Thums Up,Taste The Thunder.
285,Tropicana,Straight from the fruit.
286,V8 Vegetable Juice,Drink Your Vegetables.
287,Vittoria Coffee,Where our expertise is still a family traditi
